epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.334,1.93575,2.16368,1.10648,0.88852,0.17569,0.4,0.19446,1.79961,2.26295,1.05344,0.000660661,0.000660661,0.000660661
2,305.145,1.86584,1.51329,1.08784,0.49657,0.38328,0.37907,0.16313,1.95323,1.54451,1.14727,0.00130856,0.00130856,0.00130856
3,447.187,1.88617,1.40348,1.09501,0.54605,0.34256,0.3647,0.16448,2.01859,1.71723,1.20451,0.00193759,0.00193759,0.00193759
4,591.248,1.85781,1.33782,1.09424,0.59666,0.41892,0.46194,0.22326,1.82518,1.53605,1.10182,0.00191514,0.00191514,0.00191514
5,730.109,1.80755,1.27477,1.07565,0.59739,0.39065,0.43685,0.21213,1.84428,1.51991,1.12592,0.00188686,0.00188686,0.00188686
6,871.336,1.7819,1.24951,1.06553,0.62049,0.44949,0.49993,0.24413,1.70786,1.41079,1.05769,0.00185857,0.00185857,0.00185857
7,1012.13,1.75027,1.20904,1.05438,0.65426,0.47777,0.54648,0.28241,1.65334,1.16427,1.0433,0.00183029,0.00183029,0.00183029
8,1154.4,1.72829,1.18415,1.04432,0.65645,0.4913,0.55415,0.27544,1.69143,1.26113,1.04347,0.001802,0.001802,0.001802
9,1296.4,1.70041,1.16928,1.04235,0.66616,0.49766,0.56289,0.29946,1.61656,1.13772,1.02963,0.00177371,0.00177371,0.00177371
10,1437.21,1.69104,1.15557,1.03485,0.65935,0.47487,0.54603,0.2796,1.66644,1.18935,1.06326,0.00174543,0.00174543,0.00174543
11,1576.98,1.67588,1.13415,1.02943,0.67453,0.49608,0.56766,0.29186,1.65354,1.12438,1.02995,0.00171714,0.00171714,0.00171714
12,1717.14,1.6676,1.12447,1.02674,0.70374,0.50048,0.58635,0.31729,1.57866,1.03849,1.01481,0.00168886,0.00168886,0.00168886
13,1858.81,1.6487,1.10473,1.02166,0.69489,0.52054,0.6013,0.32009,1.57705,1.0365,1.01492,0.00166057,0.00166057,0.00166057
14,2000.15,1.64121,1.10408,1.01992,0.69346,0.5209,0.60106,0.32432,1.56039,1.05231,1.00619,0.00163229,0.00163229,0.00163229
15,2141.89,1.61786,1.07876,1.01834,0.67518,0.49454,0.57478,0.29437,1.63964,1.11114,1.0313,0.001604,0.001604,0.001604
16,2281.88,1.62776,1.08782,1.01495,0.70564,0.529,0.60969,0.33045,1.54962,1.01993,1.00339,0.00157571,0.00157571,0.00157571
17,2425.83,1.59904,1.06359,1.00726,0.7115,0.52682,0.61362,0.33317,1.53648,1.02577,1.00659,0.00154743,0.00154743,0.00154743
18,2569.37,1.60607,1.06506,1.00888,0.71717,0.53214,0.6201,0.33755,1.53165,0.99711,1.00213,0.00151914,0.00151914,0.00151914
19,2711.91,1.58928,1.04919,1.0056,0.71578,0.53432,0.62399,0.3382,1.53897,0.99808,1.00329,0.00149086,0.00149086,0.00149086
20,2854.9,1.58054,1.0426,1.00364,0.71553,0.52695,0.61796,0.34196,1.50801,0.99355,0.99497,0.00146257,0.00146257,0.00146257
21,2995.88,1.56955,1.03058,0.99792,0.72845,0.5441,0.63232,0.35032,1.49598,0.97071,0.99941,0.00143429,0.00143429,0.00143429
22,3138.73,1.5699,1.03279,1.00087,0.7202,0.54374,0.63151,0.3497,1.48466,0.97005,0.99278,0.001406,0.001406,0.001406
23,3281.09,1.56143,1.02412,0.99581,0.72836,0.53794,0.63239,0.35146,1.49447,0.97036,0.98813,0.00137771,0.00137771,0.00137771
24,3426.57,1.56658,1.0229,0.99281,0.75075,0.54084,0.6385,0.35336,1.48021,0.96611,0.9917,0.00134943,0.00134943,0.00134943
25,3570.65,1.55228,1.01077,0.9918,0.73095,0.55135,0.64008,0.35733,1.47445,0.95933,0.98575,0.00132114,0.00132114,0.00132114
26,3715.11,1.55802,1.01915,0.99598,0.7171,0.55745,0.64272,0.35775,1.47938,0.94388,0.98982,0.00129286,0.00129286,0.00129286
27,3859.23,1.54458,1.00813,0.98927,0.73424,0.5464,0.63723,0.35663,1.47671,0.9417,0.99479,0.00126457,0.00126457,0.00126457
28,4002.79,1.53811,0.99764,0.98753,0.72418,0.56343,0.64955,0.36308,1.46601,0.93811,0.97993,0.00123629,0.00123629,0.00123629
29,4147.52,1.53481,0.99354,0.98631,0.72092,0.55147,0.63991,0.35811,1.4713,0.94368,0.98704,0.001208,0.001208,0.001208
30,4289.46,1.52731,0.98657,0.98442,0.73159,0.56055,0.64855,0.36188,1.4735,0.94161,0.9826,0.00117971,0.00117971,0.00117971
31,4432.67,1.52162,0.98902,0.98602,0.73788,0.56875,0.65691,0.36696,1.45425,0.92671,0.98047,0.00115143,0.00115143,0.00115143
32,4575.48,1.51815,0.97863,0.9796,0.73396,0.57071,0.65968,0.37025,1.45118,0.91649,0.97826,0.00112314,0.00112314,0.00112314
33,4716.7,1.50889,0.97128,0.98009,0.74794,0.55574,0.6532,0.37021,1.43939,0.91582,0.9788,0.00109486,0.00109486,0.00109486
34,4860.32,1.50538,0.97136,0.97743,0.74425,0.56513,0.66282,0.3767,1.43177,0.90826,0.97449,0.00106657,0.00106657,0.00106657
35,5000.5,1.50882,0.96782,0.97716,0.73089,0.57709,0.66172,0.37497,1.42782,0.90357,0.97149,0.00103829,0.00103829,0.00103829
36,5140.7,1.49381,0.95423,0.97321,0.75299,0.55981,0.6639,0.3779,1.42976,0.90113,0.96983,0.00101,0.00101,0.00101
37,5281.22,1.49722,0.96567,0.9749,0.74678,0.56779,0.66217,0.37816,1.42121,0.89573,0.97117,0.000981714,0.000981714,0.000981714
38,5426.47,1.49723,0.95931,0.97357,0.75056,0.56924,0.66888,0.38165,1.42201,0.89174,0.96914,0.000953429,0.000953429,0.000953429
39,5570.95,1.49028,0.94936,0.97318,0.74261,0.57721,0.66842,0.37937,1.42449,0.90231,0.96906,0.000925143,0.000925143,0.000925143
40,5714.99,1.47488,0.9408,0.96931,0.75464,0.57825,0.66996,0.37946,1.41779,0.90069,0.96971,0.000896857,0.000896857,0.000896857
41,5860.01,1.47407,0.93866,0.96734,0.7538,0.57564,0.67111,0.38029,1.42398,0.90662,0.97419,0.000868571,0.000868571,0.000868571
42,6005.45,1.4751,0.93342,0.96895,0.76526,0.57044,0.67318,0.38505,1.40772,0.88236,0.96871,0.000840286,0.000840286,0.000840286
43,6151.07,1.47008,0.93336,0.96485,0.75474,0.57721,0.67304,0.38569,1.40826,0.88283,0.96507,0.000812,0.000812,0.000812
44,6298.73,1.46114,0.92711,0.96541,0.758,0.57564,0.67552,0.38786,1.40367,0.87706,0.96512,0.000783714,0.000783714,0.000783714
45,6445.89,1.4602,0.92589,0.96249,0.75734,0.57733,0.68018,0.39043,1.39912,0.86868,0.96357,0.000755429,0.000755429,0.000755429
46,6592.94,1.46414,0.92523,0.96447,0.76744,0.58579,0.68162,0.39186,1.39191,0.86316,0.96167,0.000727143,0.000727143,0.000727143
47,6740.17,1.45896,0.92098,0.96079,0.76354,0.5818,0.67628,0.3881,1.39684,0.87238,0.96503,0.000698857,0.000698857,0.000698857
48,6886.45,1.44951,0.91398,0.96072,0.76017,0.57869,0.67998,0.3916,1.3929,0.86414,0.96348,0.000670571,0.000670571,0.000670571
49,7031.92,1.44615,0.90748,0.95648,0.77028,0.57927,0.67905,0.38994,1.3913,0.87076,0.96069,0.000642286,0.000642286,0.000642286
50,7176.7,1.44486,0.90921,0.96053,0.76895,0.57697,0.67931,0.39061,1.3868,0.85814,0.95955,0.000614,0.000614,0.000614
51,7322.52,1.43629,0.90416,0.95864,0.769,0.58607,0.68506,0.39522,1.37867,0.85942,0.95917,0.000585714,0.000585714,0.000585714
52,7473.41,1.43077,0.90374,0.96072,0.7717,0.58325,0.6827,0.3925,1.38493,0.85908,0.96112,0.000557429,0.000557429,0.000557429
53,7621.99,1.42693,0.89602,0.95759,0.77563,0.57352,0.68098,0.393,1.38306,0.85654,0.96271,0.000529143,0.000529143,0.000529143
54,7768.37,1.42585,0.89155,0.95391,0.76593,0.58664,0.68648,0.39533,1.38333,0.85438,0.96125,0.000500857,0.000500857,0.000500857
55,7917.3,1.41916,0.88727,0.95507,0.77708,0.58494,0.68688,0.39612,1.38238,0.84963,0.95955,0.000472571,0.000472571,0.000472571
56,8064.78,1.42895,0.89193,0.95495,0.76854,0.58845,0.68518,0.39691,1.37725,0.84921,0.95825,0.000444286,0.000444286,0.000444286
57,8211.81,1.41422,0.88318,0.95179,0.7671,0.593,0.68989,0.399,1.37618,0.84408,0.95869,0.000416,0.000416,0.000416
58,8359.08,1.4087,0.8795,0.95099,0.76754,0.59304,0.69042,0.3992,1.3755,0.84312,0.95808,0.000387714,0.000387714,0.000387714
59,8502.3,1.40997,0.87491,0.94901,0.77741,0.58966,0.69188,0.40041,1.37254,0.84057,0.95762,0.000359429,0.000359429,0.000359429
