epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.996,1.73183,1.92259,1.07406,0.56019,0.4559,0.47435,0.2229,1.70197,2.03351,1.07439,0.000662921,0.000662921,0.000662921
2,339.613,1.81538,1.30734,1.09443,0.5586,0.41916,0.44867,0.20848,1.83368,2.91169,1.11139,0.00130765,0.00130765,0.00130765
3,507.392,1.82804,1.31164,1.09834,0.6261,0.45674,0.51375,0.25433,1.76295,1.66497,1.11458,0.00193038,0.00193038,0.00193038
4,675.025,1.78314,1.27262,1.08948,0.68683,0.48876,0.55687,0.2855,1.67072,1.30048,1.06804,0.001901,0.001901,0.001901
5,841.955,1.7223,1.19423,1.06445,0.65619,0.46631,0.54369,0.28025,1.69133,1.19304,1.07968,0.001868,0.001868,0.001868
6,1008.34,1.69187,1.16403,1.05323,0.69174,0.53225,0.60542,0.32568,1.57099,1.1379,1.03624,0.001835,0.001835,0.001835
7,1175.6,1.65347,1.12566,1.04115,0.71636,0.52338,0.60367,0.32019,1.57676,1.07825,1.03375,0.001802,0.001802,0.001802
8,1342.71,1.61732,1.09451,1.02683,0.72379,0.5325,0.62617,0.33614,1.55663,1.01084,1.0286,0.001769,0.001769,0.001769
9,1509.98,1.59695,1.07481,1.02713,0.71655,0.54241,0.62503,0.34032,1.55419,1.00799,1.01813,0.001736,0.001736,0.001736
10,1677.22,1.58622,1.06028,1.01624,0.71853,0.54894,0.63373,0.34995,1.48778,0.99254,1.0043,0.001703,0.001703,0.001703
11,1844.62,1.55497,1.03355,1.00793,0.74149,0.55063,0.64697,0.36254,1.47191,0.94778,0.99838,0.00167,0.00167,0.00167
12,2012.2,1.54904,1.02621,1.00501,0.72573,0.57407,0.65289,0.36771,1.44074,0.96348,0.99087,0.001637,0.001637,0.001637
13,2178.97,1.52816,1.00457,1.00014,0.73307,0.57238,0.66064,0.37219,1.45588,0.93536,0.98921,0.001604,0.001604,0.001604
14,2345.71,1.51631,1.00058,0.99662,0.74552,0.57452,0.6632,0.37945,1.42643,0.92693,0.98224,0.001571,0.001571,0.001571
15,2512.54,1.50089,0.98483,0.9949,0.74126,0.57165,0.66394,0.38321,1.4061,0.93444,0.98241,0.001538,0.001538,0.001538
16,2679.83,1.49839,0.97248,0.99028,0.74941,0.5696,0.66585,0.38009,1.41759,0.93675,0.98233,0.001505,0.001505,0.001505
17,2847.47,1.48128,0.96534,0.98459,0.76115,0.57685,0.67584,0.39187,1.3908,0.8994,0.97072,0.001472,0.001472,0.001472
18,3014.93,1.47742,0.9587,0.98193,0.75537,0.58354,0.67686,0.39206,1.38327,0.88781,0.97467,0.001439,0.001439,0.001439
19,3181.91,1.46176,0.94414,0.98355,0.76165,0.59617,0.68865,0.39918,1.37955,0.88138,0.96587,0.001406,0.001406,0.001406
20,3349.45,1.44963,0.93403,0.9766,0.77249,0.58954,0.69349,0.40522,1.36796,0.86489,0.96446,0.001373,0.001373,0.001373
21,3516.42,1.4432,0.92188,0.97502,0.76686,0.5938,0.69049,0.40282,1.36819,0.88286,0.97,0.00134,0.00134,0.00134
22,3684.15,1.4378,0.9223,0.97319,0.75674,0.60295,0.69359,0.40798,1.35528,0.85678,0.96052,0.001307,0.001307,0.001307
23,3851.34,1.43196,0.91641,0.97078,0.7633,0.60488,0.69785,0.41059,1.34616,0.8426,0.95594,0.001274,0.001274,0.001274
